< SN >	< Username >	< Country >	< Points >
296	KuBik	RU	1400
297	GoEYPw	IN	1300
298	4815162342	ES	1300
299	InertiaSloth	GB	1300
300	st4b	CN	1300
301	ItsMeMario	US	1300
302	who2k	IN	1300
303	Squidd	FR	1300
304	GeeksSpeak	IR	1300
305	H4x0rPsch0rr	DE	1300
306	ciccio87	IT	1300
307	sairaghav	IN	1300
308	CyberTeam6	US	1300
309	hny287	IN	1300
310	Thanos	CN	1300
311	ckm	TW	1300
312	Sandbox	RU	1300
313	d1rt	US	1200
314	nullwolf	AU	1200
315	ghatheringTheMidi6	FR	1200
316	BabyPhD	VN	1200
317	melroy_tellis	IN	1200
318	Animal.OhYeah	VN	1200
319	spyd3r	IN	1200
320	jayryan	IN	1200
321	0x7f	MN	1200
322	PiggyBird	VN	1200
323	sudoroot	DZ	1200
324	blkcaptamerica1	US	1200
325	TusanHomichi	US	1100
326	DarkMinion	IN	1100
327	WWI_Flying_Ace	US	1100
328	Imvamsus	IN	1100
329	asha	IN	1100
330	shadowservants	RU	1100
331	mattbt	GB	1100
332	seiyakyokai	JP	1100
333	rmehta300	IN	1100
334	RnD	GB	1100
335	hfukuda	JP	1100
336	harshweb@gmail.com	IN	1100
337	szzp	GB	1100
338	ballalk	IN	1000
339	Bulletproof	AU	1000
340	13610n	AF	1000
341	pranav	IN	1000
342	can	CU	1000
343	kattappa123	IN	1000
344	sandyvsr@gmail.com	IN	1000
345	Hikup	IN	1000
346	CCSF_HACKERS	US	1000
347	reddy	IN	1000
348	secgroundzero	CY	1000
349	1up	MN	1000
350	amn3s1a	ES	1000
351	soomink	KR	900
352	The-B3ast	NL	900
353	Merricx	ID	900
354	Manikv	IN	900
355	aghoshlal	IN	900
356	GRIS	BR	900
357	_try	EG	900
358	virgoman	KW	900
359	overheadhb	DE	900
360	J0rk3r	VN	900
361	uiuctf	US	900
362	krornus	US	900
363	pravin_bange	IN	900
364	chinaev	RU	900
365	Oxydros	FR	900
366	w0rm	US	900
367	daspinhas	PT	900
368	BLAP	AF	900
369	___	LI	900
370	alx33ce	KR	900
371	jarcky	DE	900
372	koaidien	VN	900
373	Centaurs	US	900
374	kod0kk	ID	900
375	Olam_zoe	IN	900
376	rkc	IN	900
377	spitfire	US	900
378	D3falt	IN	900
379	nbven	CA	900
380	arxenix	US	900
381	ch1ll3r	US	900
382	romp	AS	900
383	sushi	IR	900
384	nabz007	IN	900
385	BATS	IN	900
386	likithjogi	IN	900
387	rabbit	IN	900
388	amartejas05	IN	900
389	Op.rad	KR	900
390	doskop	NL	900
391	teeesterr	DZ	900
392	eash#	BR	900
393	participe_ctf	AF	900
394	pras1706	IN	900
395	moinkhorajiya	IN	900
396	virus	IN	900
397	g399	RU	800
398	GradiusX	MT	800
399	vladvis	RU	800
400	CR4CK3NS	ES	800
401	bonze	VN	800
402	GoanResearcher	IN	700
403	xR00t	IN	700
404	cs0sf	IN	700
405	Geesir7	US	700
406	maven	IN	700
407	jup1ter	RU	700
408	vakzz	AU	700
409	pauni	RO	700
410	moongs	KR	700
411	am	IN	700
412	harshk_13	IN	700
413	vendice	AF	700
414	plus	KR	700
415	raghavendra111	IN	700
416	noraneco	JP	700
417	DjigIT	RU	700
418	manoj.9033	IN	700
419	spizer	FI	600
420	jk2016	IN	600
421	lets_try	IN	600
422	MrsBigglesworth	US	600
423	d4rc0d3x	IE	600
424	Borja	ES	600
425	GreyBell	VN	600
426	c21h30o2	RU	600
427	Arrow	IN	600
428	spadesquad	VN	600
429	trateda	US	600
430	nicks_sarang	IN	600
431	leet0r	AF	600
432	f60	US	600
433	iflody	CN	600
434	4kshay	IN	600
435	ExMoK	KR	600
436	grzegorz225	PL	500
437	MVnD3X	IN	500
438	Bitshift	US	500
439	scumbag	IN	500
440	basepusher	US	500
441	xPowerz	US	500
442	mmm	PL	500
443	nazwadi	US	500
444	dk	MN	500
445	h0rst	DE	500
446	Majora	DE	500
447	okas832	KR	500
448	RISCYBusiness	US	500
449	sabnc	AF	400
450	123azeqsd	FR	400
451	Katelyn	GB	400
452	metric	IT	400
453	Dark_aleX	ES	400
454	w00sec	KR	400
455	BoB	KR	400
456	NeOLux-C1Ph3r	FR	400
457	djamal7722	RU	400
458	toffee	RU	400
459	bhavinmackk	IN	400
460	0ops	CN	400
461	ravirv	IN	400
462	jfhs	CZ	400
463	UED	KR	400
464	cctt	VN	400
465	pratap	IN	400
466	uosec	US	400
467	Sikun	DE	400
468	flipdot	AF	400
469	owl	US	400
470	Akarsh T S	IN	400
471	KerKerYuan	TW	400
472	Cybrosis	UA	400
473	H4ck3r	IN	400
474	ITSPR	IN	400
475	Hawks	PL	400
476	WL	MY	400
477	soluna10	KR	400
478	Ondas	US	400
479	prayas26	IN	300
480	shoper	AI	300
481	strikeforce	IN	300
482	StratumAuhuur	DE	300
483	malprxctice	IN	300
484	jinmo123	KR	300
485	shellwarp	ES	300
486	dpnz	TH	300
487	satishengr	IN	300
488	gooligans	CA	300
489	Diaw01f	RO	300
490	kamikaze	PK	300
491	BitK	FR	200
492	JayantS	IN	200
493	alexx	RO	200
494	Resistance	PL	200
495	Nabla	RO	200
496	daguy666	US	200
497	bdraff	US	200
498	LuD	IN	200
499	pickelz	US	200
500	Thracky	CA	200
501	b0ss	IN	200
502	aravind	IN	200
503	haxpak	IN	200
504	6toMidnight	US	200
505	kumarrockstarsaurabh@gmail.com	IN	200
506	Devorare	US	200
507	test777	CO	200
508	conmancraig	CA	200
509	Lum3nz	US	200
510	drewfus	US	200
511	Husky	US	200
512	Rayru	US	200
513	Stack	PL	200
514	off	IN	200
515	guilt	CA	200
516	z0rex	NO	200
517	shadow-hakr	US	200
518	REU	UA	100
519	Fire30	US	100
520	08fbc81152	NL	100
521	soma	US	100
522	popo	AF	100
523	marche147	CN	100
524	tyh	US	100
525	_zx_	VN	100
526	mmk21	FR	100
527	UCCU	TW	100
528	okudo3	JP	100
529	KITCTF	DE	100
530	kknock	KR	100
531	CTF-infinit	JP	100
532	MichelCode	FR	100
533	pp	AL	100
534	Honeypot	RU	100
535	OPT	CN	100
536	mike	IN	0
537	unbaiat	RO	0
538	q8spy	AF	0
539	D33P	IN	Inactive
540	zorianix	IN	0
541	0daybug00	IN	0
542	vsatheesh.kumar21@gmail.com	AF	0
543	veerudev	IN	0
544	nirupam	IN	0
545	alanjannson@gmail.com	IN	0
546	guardian	IN	0
547	JKS	ES	0
548	cengredos	TR	0
549	satya.jalli	IN	Inactive
550	venkat119	IN	0
551	k0d3	IN	0
552	ashimdutta99	IN	0
553	cipher	IN	0
554	n4n1	IN	0
555	iAmPr3m	IN	0
556	root.nirav	IN	0
557	nik	IN	0
558	&lt;img src=x&gt;	AF	Inactive
559	wytshadow	US	0
560	overflowsec	JP	0
561	Not_yet_but_soon	GB	0
562	kriegersaurusrex	US	0
563	piratuer	MA	0
564	apoorvmunshi	US	0
565	clownbox	ID	0
566	win_32_found	IN	0
567	gage.southard	US	0
568	Trickey	KR	0
569	Nightwo0olf	IN	0
570	anant	IN	0
571	arjun.diego	IN	0
572	chefgoldenf1sh	ID	0
573	risingtide.skye	IN	0
574	l0w privs high hopes	CA	0
575	harsh	IN	0
576	sooraj1337	IN	0
577	persistein7734	IN	0
578	lsf	LU	0
579	Blob	IN	0
580	soluna	KR	Inactive
581	hy00un	KR	0
582	robin7907	IN	0
583	nanr	IN	0
584	saurabh	IN	0
585	shashank0336	IN	0
586	Dash_X	FR	0
587	ibrhaimkhan707	IN	0
588	wild_raven	IN	0
589	akshaydev313	IN	0
590	nitheeshas	IN	0
591	scorpion	IN	0
592	r4nd0m	ID	0
593	mddanishamber	IN	0
594	rajugorla	IN	0
595	justdivyanshu	IN	0
596	Storm	IN	0
597	OpSec	IN	0
598	magnus	IN	0
599	shell	IN	0
600	harshafriend4all	IN	0
601	0x31333337	IN	0
602	rever	VN	0
603	ru94mb	IN	0
604	rahul123	IN	0
605	clicknull	AF	0
606	bewithsahilsaif	IN	0
607	prvnkumark	IN	0
608	hardwork	VN	0
609	InvisibleHat	VN	0
610	aekmosfa	AF	0
611	panckazzz	IN	0
612	glaros	GR	0
613	deadmanrose3	US	0
614	whoisjohngalt	US	0
615	mkS	US	0
616	hazrasudip9	IN	0
617	xeka	RU	0
618	darkwolfultima	US	0
619	4n1L	TR	0
620	DableProger	AR	0
621	TheExploiter	FR	0
622	xenocidewiki	NO	0
623	0xexplorer	KE	0
624	gr1zz1y	US	0
625	specx	TR	0
626	j0rgem0ya	EC	0
627	n1tr0g3n	US	0
628	gitux	US	0
629	ratio	US	0
630	Fm0x03	CA	Inactive
631	someshrasal	IN	0
632	pimps	AU	0
633	AbhinavBiswas	IN	0
634	swetharao	AF	0
635	blackcoder	IN	0
636	gaurbh	IN	0
637	Egleye	IN	0
638	vakil	IN	0
639	harsh4nullcon	IN	0
640	pranav.pissal19	IN	0
641	apoorv	IN	0
642	makata0611	VN	0
643	avisinha	IN	0
644	0x3c3e	RU	0
645	z00t	BE	0
646	H@R5H	IN	0
647	sgmnt	RU	0
648	vic412	TW	0
649	0x4e	MN	0
650	sir_hackalot	MM	0
651	includ3m3	MM	0
652	Bahubali	IN	0
653	snoww0lf	ID	0
654	himanshu	IN	0
655	VMB	AF	0
656	deZer0ne	RU	0
657	Attacker	SD	0
658	maxximus	AE	Inactive
659	blade	IN	0
660	returnof	IN	0
661	test	AF	Inactive
662	v6nerd	YE	0
663	Boheneer	KR	0
664	Cute_devil	AF	0
665	ukk1337	DE	0
666	dar996	IN	0
667	ZenitCTF	MY	0
668	swkim306	KR	0
669	jtwp470	JP	0
670	sharadboni	IN	0
671	knapptimezzz	US	Inactive
672	sp	US	0
673	kumaranukaran8520	IN	0
674	knapptimezzz-cant-hack	AF	0
675	mathboy7	KR	0
676	K1LL3rR0b0t	US	0
677	investigators	MA	0
678	d4ro	ID	0
679	Mauddib28	US	0
680	TeamZAP	JP	0
681	vanhelsing	CA	0
682	keywee__	KR	0
683	janosik	US	0
684	Jack	IN	0
685	LeetZeppelin	RU	0
686	Bl@ckWhite	TW	0
687	tsun	JP	0
688	FR19	ID	0
689	mk14525	IN	0
690	Veer	IN	0
691	Justpentest	IN	0
692	leonteale	GB	0
693	V33r4m	IN	0
694	70E	IN	0
695	adrian.bogatu	RO	0
696	newnold	AF	0
697	networ-k-ing	IN	0
698	siwat74@gmail.com	US	0
699	joao2212	IQ	Inactive
700	texh0k0t	RU	0
701	deadcoder	IN	0
702	CreativeWolf	IN	0
703	Ph3rr1s	US	0
704	nullc0n	IN	Inactive
705	gtux	IN	0
706	segfault	IN	0
707	Logical	AF	0
708	manav2994	IN	0
709	oe19fyfa	DE	0
710	Cryptik	US	0
711	9SOC	US	Inactive
712	ta_kou	GB	0
713	evan_yeyeye	US	0
714	expert4urahul	IN	0
715	electricwolf	DZ	0
716	nupur.jain@uconn.edu	US	0
717	esrever10	CN	0
718	nobug	CN	0
719	cmj	TW	0
720	5unKn0wn	KR	0
721	SooLFaa	AF	0
722	lexuxor	AF	0
723	devnull	IR	0
724	st0rmsh4dow04	IN	0
725	unknown	ID	0
726	marcof	IT	0
727	blue9519	KR	0
728	D3ad_M4n	IN	0
729	jaykishan137	IN	0
730	0b0	ES	0
731	ohai	US	0
732	Tau0	AU	Inactive
733	max1021504	KR	0
734	0ne_z3r0	MN	0
735	pendekar_langit	ID	0
736	cpu2720	KR	0
737	andyh17	US	0
738	ArmyKing	KR	0
739	Tokosie	KR	0
740	Hans	JP	0
741	shiori	CN	0
742	human	AF	0
743	yerrang123	KR	0
744	Algo	VN	0
745	wakass	AU	0
746	tera	JP	0
747	adm1nkyj	KR	0
748	khanta	US	0
749	security	JP	Inactive
750	amanj_vg	IN	0
751	lyc12345	TW	0
752	batik	ID	0
753	saggy	IN	0
754	ker0ppi	ID	0
755	Keirm_096	RU	0
756	TeamInfoCTS	NG	0
757	paulll	RU	0
758	maldan	RU	0
759	Uobonekenobi	GB	0
760	p03p0wn	JP	0
761	Albertchang	CN	0
762	cyto	AU	Inactive
763	djh	US	0
764	blackcube	TH	0
765	meteor	CN	0
766	luxki	VN	0
767	ajan	IN	0
768	megalo	IN	0
769	binary0rgy	AR	0
770	timothyboyboy	AU	0
771	worldwideweb	IN	0
772	duguhu	AF	0
773	spreadfame	TR	0
774	Hazm Storm	SA	0
775	0xshyam	IN	0
776	chicko	RU	0
777	suren	IN	0
778	AngryHawk	IN	0
779	harshah	IN	0
780	deute	ES	0
781	eixei	DE	0
782	n0rdf	AF	0
783	Wolf_Pack	FR	0
784	sh_vanGo	DE	0
785	hardy	PL	0
786	dduck	PL	0
787	slimjim2234	US	0
788	b1rth5	DE	0
789	dalifit	TN	0
790	Kuhaku	ID	0
791	plul	NO	0
792	singi	KR	0
793	testing&lt;&gt;&quot;&#039;\\&lt;	AF	Inactive
794	testing&lt;&gt;&quot;&#039;\\&lt;&lt;	AF	Inactive
795	h4lt	ID	0
796	dia	ID	0
797	DrCharlesT	US	0
798	Fost	UA	0
799	Orpheus	GB	0
800	hms2010	RU	0
801	Lov3lyD3ath	RU	0
802	david@systemoverlord.com	US	0
803	lilo	KR	0
804	Jayliu2011	US	0
805	X	AD	0
806	Jeramy	US	0
807	josiah	US	0
808	Gilroar	US	0
809	Wh1t3Fox	US	0
810	Snaker	CA	0
811	nullsign	US	0
812	bishiguro	US	0
813	snoopein	MA	0
814	Min3r0s	KR	0
815	danielpops	US	0
816	Effect	US	0
817	zipzop	US	0
818	manickyoj	US	0
819	anne.ku	US	0
820	Undefined	KR	0
821	hmema	KR	0
822	rmrf	VN	0
823	hockhung48	VN	0
824	UbuntuErka	MN	0
825	RTFMggXopis	BR	0
826	Xolico	US	Inactive
827	muru	IN	0
828	Hmm	SG	0
829	Dave	US	Inactive
830	nitmalviya03	IN	0
831	fyoorer	IN	0
832	tdtds	JP	0
833	theharshguy	IN	0
834	Lucifier	IN	0
835	peyush14	IN	0
836	isaneh	IN	0
837	tummala.krishnareddy	IN	0
838	zub1n	IN	0
839	h@ckm3	IN	0
840	YanTayga	RU	0
841	krc11381	IN	0
842	infosec.amar	IN	0
843	adin1975	IN	0
844	santosh4489	IN	0
845	richard	AF	0
846	Nu77Byt35	IN	0
847	saikumar	IN	0
848	Alexander	IN	0
849	shahids069	IN	Inactive
850	mkohalli	IN	0
851	key	IR	Inactive
852	someone	IN	0
853	sh3llp0pper	IN	0
854	iranban	IR	Inactive
855	DarthYoda	IN	0
856	savernek	IN	0
857	iranban13	IR	0
858	H@WK	AE	0
859	venomthought	IN	0
860	ashriram	IN	0
861	xrander	IN	0
862	d4rkc0de	IN	0
863	jithin005	IN	0
864	nkayal@cisco.com	IN	0
865	santokri	IN	0
866	junedmirza1	AE	0
867	tinpardo	CO	0
868	ravikumaryogi	AE	0
869	pverma	IN	0
870	D@rkSmiley&#039;s	IN	0
871	darshit.varotaria	IN	0
872	l1mp3t	RU	0
873	zerocool443	IN	0
874	sagar9024	IN	0
875	b.sudhakoushik	IN	0
876	bali.shan	IN	0
877	aaa	AF	0
878	trnkrishna@gmail.com	IN	0
879	snypter	IN	0
880	d0kt0r	PT	0
881	vedo	TR	0
882	n3k00n3	BR	0
883	RTFM - Red Team Freakin&#039; Maniacs	BR	0
884	masarma	IN	0
885	nightfury	IN	0
886	xz0r	IN	0
887	deepakrathore2k10	AF	0
888	coolboss	IN	0
889	abineshjerry	IN	0
890	RjG8s	TH	0
891	AngelByDay	GB	0
892	abhishek	IN	0
893	rajith	IN	0
894	xseg0	IN	0
895	!@$	IN	0
896	ShYa	EE	0
897	JU5T15	IN	0
898	teja.bachu	IN	0
899	vaibhg	AL	0
900	karpuz	TR	0
901	josebeo	VN	0
902	eldiablo59	FR	0
903	lacloi	VN	0
904	kentvp	VN	0
905	dokkodai	KR	0
906	thestorm	KR	0
907	MSEC	VN	0
908	th4il4m	VN	0
909	Aliga	VN	0
910	noname	VN	0
911	Saurabh_cyber	IN	0
912	jberger	US	0
913	amit101	IN	0
914	Cosom	VN	Inactive
915	test15	IN	0
916	RuneTM	DK	0
917	MrMars	VN	0
918	kiv.mark	IN	0
919	mrdrift	VN	0
920	uk45	IN	0
921	TheParagon	US	0
922	Ali.BawazeEer	YE	0
923	rmza7	US	0
924	ver0man	GB	0
925	ahmehta	IN	0
926	JBTteam	ID	0
927	sidhshar	IN	0
928	BigBoss	IN	0
929	xoke	US	0
930	Foxtrot	GB	0
931	Karzemrok	FR	0
932	JohnnyR030T	US	0
933	aryanraj	IN	0
934	Caffeine	US	0
935	msegf	US	0
936	jyotichopra1622	IN	0
937	sajal_thomas	IN	0
938	dipak_das	IN	0
939	gigajum	DE	0
940	vikey	IN	0
941	m3nt4wa1	BR	0
942	squareroots	DE	0
943	oInt	US	0
944	&quot;&gt;&lt;svg/onload=alert(8);&gt;	&quot;&gt;&lt;svg/onload=alert(8);&gt;	0
945	MHE	EG	0
946	KgOfHedgehogs	RU	0
947	medalahonor	RU	0
948	&lt;-_•&gt;	US	0
949	megumish	JP	0
950	Revimal	KR	0
951	jauharvp	IN	0
952	khansamahardika	ID	0
953	onics	AF	0
954	fnstenv	GB	0
955	bobby	VN	0
956	shigosen	JP	0
957	rckasa	BR	0
958	Invisible I	US	0
959	Masterofsquid	US	0
960	itdurra	US	0
961	hsis007	IN	Inactive
962	szzer786	IN	0
963	In3omnia	CN	0
964	KG	IN	0
965	Ciph3r00t	IN	0
966	aks	IN	0
967	m9886793469	IN	0
968	haxorhead	IN	0
969	sagaranand015	IN	0
970	hmulupur	IN	0
971	ankatare	IN	Inactive
972	ponkarthik	IN	0
973	srihmano	IN	0
974	vipin.singhal	IN	0
975	D3aDP001	IN	0
976	hackmaverick	IN	0
977	vengat9487	IN	0
978	Cacadors	TH	0
979	swapnilbpatil90@gmail.com	IN	0
980	rupali.dash	IN	0
981	marvindao	IN	0
982	pankajtechie	IN	0
983	sunilj98	IN	0
984	krishnaKR	IN	0
985	ggarg	IN	0
986	mitendra	IN	0
987	hydraz	IN	0
988	santoo	IN	0
989	agrwlanirudh	IN	0
990	technoholic	IN	0
991	CrazyHacker	AF	0
992	suresh_sh	IN	0
993	hackheaven123	IN	0
994	c1rcl3s	IN	0
995	pratul.anand	IN	0
996	jbond	IN	0
997	sarkmanchez	US	0
998	subishvs	IN	0
999	puranic	IN	0
1000	divyesh	IN	0
1001	niranjan_mr	IN	0
1002	gkapoor	IN	0
1003	sanchitmatta	IN	0
1004	Vidhya	IN	0
1005	targarian	IN	0
1006	Pacha	RU	0
1007	karanb192	IN	0
1008	rohitmishra	IN	0
1009	sumedhsidhaye	IN	Inactive
1010	paragb	IN	0
1011	sumedhs	IN	0
1012	demondvn	VN	0
1013	helloquat	US	0
1014	prshntk	IN	0
1015	sausid	IN	0
1016	sh3llgamer	IN	0
1017	ahuja0007	IN	0
1018	nightfury11	ID	0
1019	rramsandesh	IN	0
1020	ajay	IN	0
1021	sw1ft	PL	0
1022	Crazymind	IN	0
1023	kabhish	IN	0
1024	KeyurG	IN	0
1025	stery	BG	0
1026	rajs	IN	0
1027	r00t3d	IN	0
1028	3nigma	AF	Inactive
1029	blueelvis	IN	0
1030	little hat-wearing	AF	0
1031	sudhackar	IN	0
1032	N	AF	0
1033	tick	PL	Inactive
1034	KasaBR	BR	0
1035	sagarchand1997	IN	0
1036	gouthamkreddy	IN	0
1037	the_storm	EG	0
1038	Crowd	RU	0
1039	hayicle	VN	0
1040	steinsgate	IN	0
1041	raju@hackIM	IN	0
1042	janartha007	IN	0
1043	pratik015	IN	0
1044	justingt	IN	0
